DTXSID,true_chemname
DTXSID9021554,Decanoic acid
DTXSID4034287,5-Heptyldihydro-2(3H)-furanone
DTXSID0034229,gamma-Nonanolactone
DTXSID401009837,"Oils, costus"
DTXSID8024159,Isoxaben
DTXSID3021641,Nonanoic acid
DTXSID9026051,Stoddard solvent
DTXSID5023871,Amitraz
DTXSID1029704,Ammonium sulfate
DTXSID8034748,Calcium bis(hydrogen methylarsonate)
DTXSID5034488,Cupric oxide
DTXSID6034475,Dicopper chloride trihydroxide
DTXSID5032442,Imidacloprid
DTXSID7025502,Linalool
DTXSID901015429,Manganese sulfate
DTXSID0051233,Mineral spirits
DTXSID7028227,"Residual oils, petroleum, solvent-dewaxed"
DTXSID0024343,Tralomethrin
DTXSID1034341,Arsenic acid
DTXSID1034343,Arsenic(V) pentoxide
DTXSID3032678,Avermectin
DTXSID8034455,Chromic(VI) acid
DTXSID8028212,"Distillates, petroleum, hydrotreated light"
DTXSID0032572,Prallethrin
DTXSID1032640,Pyriproxyfen
DTXSID8027660,Soy oil
DTXSID0028088,"Fatty acids, tall-oil"
DTXSID4021426,Urea
DTXSID5032523,"1,2-Benzisothiazolin-3-one"
DTXSID6023810,Benzethonium chloride
DTXSID3032545,2-(Decylthio)ethanamine hydrochloride
DTXSID8034746,"4,4'-(2-Ethyl-2-nitrotrimethylene)dimorpholine"
DTXSID5032527,4-(2-Nitrobutyl)morpholine
DTXSID8024652,Bronopol
DTXSID7024742,Castor oil
DTXSID8020462,Diethylene glycol
DTXSID9032379,Dithiopyr
DTXSID2032390,Fenarimol
DTXSID6023868,Hydramethylnon
DTXSID3024154,Iprodione
DTXSID4024195,MCPA
DTXSID6031623,Methyl soyate
DTXSID8024315,Myclobutanil
DTXSID5024211,Napropamide
DTXSID8028183,"Extracts, petroleum, light naphthenic distillate solvent"
DTXSID1034210,Prodiamine
DTXSID8024280,Propiconazole
DTXSID1026031,Sodium dodecyl sulfate
DTXSID9035204,Tributyltin methacrylate
DTXSID5032579,Triclopyr butotyl
DTXSID3035341,"1,3-Dibromo-5,5-dimethylhydantoin"
DTXSID4034235,"2,4-D 2-EHE"
DTXSID3036238,Calcium carbonate
DTXSID7034410,Calcium hydroxide
DTXSID20891957,Corn gluten protein
DTXSID8020381,Deltamethrin
DTXSID5020607,Di(2-ethylhexyl) phthalate
DTXSID1035288,"8,10-Dodecadien-1-ol"
DTXSID9035672,"Phosphoric acid, Iron(3+) salt (1:1)"
DTXSID3034298,Mefluidide-diolamine
DTXSID2025688,Morpholine
DTXSID8028266,Normal C5-20 paraffins (petroleum)
DTXSID9028968,"Hydrocarbons, C6-30"
DTXSID5034565,Egg solids
DTXSID3021271,Sodium chloride
DTXSID0021331,Tetrakis(hydroxymethyl)phosphonium sulfate
DTXSID7035305,(E)-5-Decen-1-ol
DTXSID0035295,(E)-5-Decen-1-ol acetate
DTXSID9020112,Atrazine
DTXSID3047475,Canola oil
DTXSID9027651,Carbon
DTXSID2066856,"Acetic acid, ammonium copper salt"
DTXSID4034609,Fipronil
DTXSID1024120,Glufosinate-ammonium
DTXSID1024122,Glyphosate
DTXSID8034669,Imiprothrin
DTXSID5034856,Mecoprop-P-dimethylammonium
DTXSID6025567,Methyl 2-aminobenzoate
DTXSID4029692,Potassium nitrate
DTXSID5029683,Sulfuric acid
DTXSID4022361,Vinclozolin
DTXSID0032314,"4,4-Dimethyl oxazolidine"
DTXSID901011253,"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, homopolymer"
DTXSID9020160,Bifenthrin
DTXSID70107838,Neem oil
DTXSID6034265,Clopyralid-olamine
DTXSID5035294,(E)-Dodec-8-enyl acetate
DTXSID0028329,"Fatty acids, C6-12, methyl esters"
DTXSID1020643,Fosetyl-Al
DTXSID3032416,Cybutryne
DTXSID9028253,"Solvent naphtha, petroleum, heavy aliph."
DTXSID5029633,Potassium hydroxide
DTXSID7032474,Siduron
DTXSID7034389,Boron sodium oxide pentahydrate
DTXSID9026053,Streptomycin sulfate (2:3)
DTXSID3035266,(Z)-Tetradec-11-enyl acetate
DTXSID5035741,"8-Dodecen-1-ol, (8Z)-"
DTXSID9035543,(Z)-8-Dodecen-1-ol acetate
DTXSID3035214,1-Octen-3-ol
DTXSID1024097,2-Butoxyethanol
DTXSID8029153,Benzyl benzoate
DTXSID1021740,1-Butanol
DTXSID1047077,Copper(II) carbonate basic
DTXSID0034778,"Octanoic acid, copper salt"
DTXSID4032374,Difethialone
DTXSID1024049,Diflubenzuron
DTXSID8034580,Ethofumesate
DTXSID1026378,Ethylene
DTXSID8024109,Flutolanil
DTXSID7032559,?-Cyhalothrin
DTXSID2024242,Paclobutrazol
DTXSID4047597,Poloxalene
DTXSID0021177,Potassium bicarbonate
DTXSID8022959,Docusate sodium
DTXSID7032478,Spinosad
DTXSID90860837,"(3R,6S)-6-Isopropenyl-3-methyl-9-decen-1-yl acetate"
DTXSID0035792,"(3S,6S)-6-Isopropenyl-3-methyl-9-decen-1-yl acetate"
DTXSID4035592,(E)-4-Tridecen-l-yl acetate
DTXSID1035785,"2,4-Dodecadienoic acid, 3,7,11-trimethyl-, 2-propynyl ester, (S-(E,E))-"
DTXSID6035730,(Z)-11-Hexadecenyl acetate
DTXSID1032303,(Z)-11-Hexadecenal
DTXSID6035786,(Z)-4-Tridecen-1-yl acetate
DTXSID8035217,"1,3-Dimethylol-5,5-dimethylhydantoin"
DTXSID8035423,"1,4-Dimethylnaphthalene"
DTXSID2040735,"1,7-Dioxaspiro[5.5]undecane"
DTXSID5024760,N-(3-Chloroallyl)hexaminium chloride
DTXSID2035643,1-Methylcyclopropene
DTXSID0032443,"10,10'-Oxybisphenoxarsine"
DTXSID9034238,"2,4-Dichlorophenoxyacetic acid diethanolamine"
DTXSID8034243,"2,4-D Triisopropanolammonium salt"
DTXSID2021864,"2,4-Dimethylphenol"
DTXSID5047532,2-[(Hydroxymethyl)amino]ethanol
DTXSID1026033,Sodium ethasulfate
DTXSID4027999,"2-Phosphono-1,2,4-butanetricarboxylic acid"
DTXSID4035542,"N,N-Dimethyl-N-(3-(trimethoxysilyl)propyl) octadecan-1-aminium chloride"
DTXSID7034547,"Dimethylamine 4-(2,4-dichlorophenoxy)butyrate"
DTXSID5032315,"4,5-Dichloro-2-octyl-3(2H)-isothiazolone"
DTXSID0023870,4-Aminopyridine
DTXSID0032316,"4-Chloro-3,5-dimethylphenol"
DTXSID4034289,"5-Hydroxymethyl-1-aza-3,7-dioxabicyclo(3.3.0)octane"
DTXSID8023892,Abamectin
DTXSID0034300,Acetamiprid
DTXSID1032519,Acibenzolar-S-methyl
DTXSID4034310,C.I. Acid Blue 9
DTXSID5020023,Acrolein
DTXSID1050466,Acrylamide/ sodium acrylate copolymer
DTXSID90904563,Agrobacterium radiobacter (strain K84)
DTXSID1022265,Alachlor
DTXSID0039223,Aldicarb
DTXSID9049877,Alkylbenzenesulfonic acid
DTXSID3034828,Polyethoxylated isooctadecanol
DTXSID1034266,Aviglycine hydrochloride
DTXSID5035618,Ammonium hydrogen carbonate
DTXSID2029668,Ammonium nitrate
DTXSID9066207,"Propanoic acid, ammonium salt"
DTXSID401009744,"Fatty acids, tall-oil, ammonium salts"
DTXSID6029703,Ammonium thiosulfate
DTXSID2034338,Ancymidol
DTXSID0074007,Arsenite
DTXSID3020122,Azinphos-methyl
DTXSID0032520,Azoxystrobin
DTXSID00894946,Bacillus sphaericus
DTXSID80897374,Bacillus subtilis
DTXSID1034347,Barium metaborate
DTXSID40897355,Beauveria bassiana
DTXSID5023900,Benomyl
DTXSID7024164,Bensulfuron-methyl
DTXSID0032522,Bentazone-sodium
DTXSID6030782,Bentonite
DTXSID6020143,Benzoic acid
DTXSID9034361,Denatonium saccharide
DTXSID8032330,beta-Cyfluthrin
DTXSID5032525,Bifenazate
DTXSID3032331,Bis(trichloromethyl)sulfone
DTXSID7034383,Bispyribac-sodium
DTXSID9034284,"Bromacil, lithium salt"
DTXSID8032592,Bromoxynil heptanoate
DTXSID7023932,Bromoxynil octanoate
DTXSID8034401,Buprofezin
DTXSID3041457,3-(Butylacetylamino)propionic acid
DTXSID5020235,Calcium chloride
DTXSID3021645,Octanoic acid
DTXSID4024729,Carbendazim
DTXSID9020249,Carbofuran
DTXSID4027028,Carbon dioxide
DTXSID0023951,Carboxin
DTXSID4032532,Carfentrazone-ethyl
DTXSID1040829,Caseins
DTXSID9032533,Chlorfenapyr
DTXSID9034440,Chlorflurenol-methyl (mixture)
DTXSID7032345,Chlorhexidine diacetate
DTXSID6020303,Chlormequat chloride
DTXSID2024793,Chloroneb
DTXSID7020764,Chlorpropham
DTXSID7023980,Chlorsulfuron
DTXSID3034458,Clethodim
DTXSID9023881,Clofentezine
DTXSID1032355,Clomazone
DTXSID9029221,Clopyralid
DTXSID0024842,Coconut oil acid/Diethanolamine condensate (2:1)
DTXSID1034470,Copper ammonium carbonate
DTXSID1034472,Copper ethylene diamine complex
DTXSID6034477,Copper salts of fatty and rosin acids
DTXSID2020347,Coumaphos
DTXSID0034481,Copper thiocyanate
DTXSID9043720,Sodium cyanurate
DTXSID5032600,Cyclanilide
DTXSID6032356,Cycloate
DTXSID1034503,Cyhalofop-butyl
DTXSID6032358,Cymoxanil
DTXSID1032359,Cyprodinil
DTXSID6023999,Cyromazine
DTXSID9020370,Daminozide
DTXSID8034376,Denatonium benzoate
DTXSID0034518,Desmedipham
DTXSID20891750,Dextrin
DTXSID8027450,Sodium dicamba
DTXSID0032605,"Methyl (RS)-2-[4-(2,4-dichlorophenoxy)phenoxy]propionate"
DTXSID4032372,Difenoconazole
DTXSID6024048,Difenzoquat metilsulfate
DTXSID9032375,Diflufenzopyr-sodium
DTXSID4034366,Dicamba-diglycoamine
DTXSID3032541,Diiodomethyl 4-methylphenyl sulfone
DTXSID2034540,Dikegulac sodium
DTXSID0024052,Dimethipin
DTXSID7034545,Dimethomorph
DTXSID7028063,"Amines, dimethylsoya alkyl"
DTXSID9023833,Polydimethylsiloxane
DTXSID1034551,Diphacinone-sodium
DTXSID4021975,Diphenylamine
DTXSID1026039,Dibasic sodium phosphate
DTXSID9027073,"Ethylenediaminetetraacetic acid, disodium salt"
DTXSID3020548,Dodine
DTXSID1035286,(E)-11-Tetradecen-1-ol acetate
DTXSID0034566,Emamectin benzoate
DTXSID0034568,Endothal-dipotassium
DTXSID1027687,"Soybean oil, epoxidized"
DTXSID8032386,Ethalfluralin
DTXSID4032611,Ethoprop
DTXSID9035753,Ethyl 3-(N-butylacetamido)propionate
DTXSID8020597,Ethylene glycol
DTXSID5024182,2-Methoxyethanol
DTXSID3032389,Farnesol
DTXSID3024102,Fenamiphos
DTXSID8032548,Fenbuconazole
DTXSID7032391,Fenbutatin oxide
DTXSID3032549,Fenhexamid
DTXSID2034598,Fenoxaprop-P-ethyl
DTXSID0024002,Fenpropathrin
DTXSID7032557,Fenpyroximate
DTXSID5029712,Ferric sulfate
DTXSID0029688,Iron(II) sulfate
DTXSID2032398,Fludioxonil
DTXSID5034729,Flurenol-methyl
DTXSID8024107,1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone
DTXSID4032405,Formetanate hydrochloride
DTXSID5023081,D-Fructose
DTXSID6035106,4-Aminobutanoic acid
DTXSID10897100,Glyphosate-diammonium
DTXSID0046987,DL-Glutamic acid
DTXSID5034646,Glyphosate ammonium
DTXSID9034650,Halosulfuron-methyl
DTXSID60894962,Harpin Ea
DTXSID4024145,Hexazinone
DTXSID5021885,"2-Methyl-2,4-pentanediol"
DTXSID7024299,Hexythiazox
DTXSID9034490,Cyanamide
DTXSID6035152,"1-(Hydroxymethyl)-5,5-dimethylhydantoin"
DTXSID40274061,Imazamethabenz acid form
DTXSID00904418,Imazamox ammonium
DTXSID9034230,"Imazapyr, isopropylamine salt"
DTXSID3024287,Imazethapyr
DTXSID7034335,Imazethapyr ammonium
DTXSID1032690,Indoxacarb
DTXSID0027933,Diisooctyl phthalate
DTXSID6027890,Isopropylammonium dodecylbenzenesulfonate
DTXSID6049640,Kaolin
DTXSID2032558,Kresoxim-methyl
DTXSID2023193,Lactose
DTXSID5021590,Dodecanoic acid
DTXSID5026918,1-Dodecanol
DTXSID3021279,Lecithin
DTXSID4051249,Lignosulfuric acid
DTXSID5029631,Calcium oxide
DTXSID2024163,Linuron
DTXSID5034690,Magnesium chloride
DTXSID0034691,Magnesium phosphide
DTXSID5034694,"Maleic hydrazide, potassium salt"
DTXSID5034698,MCPA-2-ethylhexyl
DTXSID0034306,MCPA-isooctyl
DTXSID3032670,(R)-Mecoprop
DTXSID8032671,Metalaxyl-M
DTXSID8029650,Menthol
DTXSID6024200,m-Cresol
DTXSID6024177,Methamidophos
DTXSID5020819,Methidathion
DTXSID3032628,Methoxyfenozide
DTXSID5025659,Methyl salicylate
DTXSID3034294,Dichlorflurenol-methyl
DTXSID5052882,"Siloxanes and Silicones, di-Me, reaction products with silica"
DTXSID6024204,Metribuzin
DTXSID9028544,Molasses
DTXSID6024206,Molinate
DTXSID9026926,1-Tetradecanol
DTXSID7032630,N-Benzyladenine
DTXSID2034334,Ammonium 1-naphthaleneacetate
DTXSID3034583,Ethyl 1-naphthaleneacetate
DTXSID3022247,Nerolidol
DTXSID6034764,Nicosulfuron
DTXSID7034256,Nithiazine
DTXSID0024216,Nitrapyrin
DTXSID8024234,Norflurazon
DTXSID0034772,Nosema locustae
DTXSID5034773,Novaluron
DTXSID8030978,Cedarwood oil
DTXSID10108662,"Oils, eucalyptus, E. citriodora"
DTXSID6021113,Peppermint oil
DTXSID5025811,Methyl (9Z)-octadec-9-enoate
DTXSID0025949,Potassium oleate
DTXSID6021086,Oxamyl
DTXSID8025541,Oxydemeton-methyl
DTXSID4035209,Oxypurinol
DTXSID0035744,"p-Menthane-3,8-diol"
DTXSID4021717,4-Chloro-3-methylphenol
DTXSID7024243,Paraquat dichloride
DTXSID7026863,"1,1'-Oxybis-2-propanol"
DTXSID3028217,Hydrotreated heavy naphthenic distillate (petroleum)
DTXSID1024255,Phenmedipham
DTXSID5021124,Phenol
DTXSID6035156,2-Phenylethyl propionate
DTXSID2021157,Phosphine
DTXSID0035667,Monobasic potassium phosphate
DTXSID7032634,Piperalin
DTXSID4027862,Polyethylene glycol
DTXSID7042306,"Poly(oxy-1,2-ethanediyl), .alpha.-acetyl-.omega.-(acetyloxy)-"
DTXSID6027713,Polyoxyethylene monoleate
DTXSID1027716,Polyoxyethylene dioleate
DTXSID0021175,Polysorbate 80
DTXSID4049743,Poly(oxyethylene) sorbitan trioleate
DTXSID60894563,"Siloxanes and Silicones, di-Me, 3-hydroxypropyl Me, ethoxylated"
DTXSID2036245,Potassium carbonate
DTXSID9035961,Dipotassium phosphite
DTXSID1034925,"Potassium 2,4-hexadienoate"
DTXSID3032464,Profenofos
DTXSID9034496,Prohexadione-calcium
DTXSID6034849,Propamocarb hydrochloride
DTXSID8022111,Propanil
DTXSID4024276,Propargite
DTXSID7032470,Propetamphos
DTXSID5021207,"1,2-Propylene oxide"
DTXSID2020420,Propyzamide
DTXSID2032637,Pymetrozine
DTXSID7032638,Pyraclostrobin
DTXSID3034872,Chloridazon
DTXSID5032573,Pyridaben
DTXSID2032639,Pyridate
DTXSID8032673,Pyrithiobac-sodium
DTXSID6032641,Quinclorac
DTXSID1032642,Rimsulfuron
DTXSID1024174,Tribufos
DTXSID6032431,S-Metolachlor
DTXSID9024304,Sethoxydim
DTXSID80274000,"Rubber, silicone"
DTXSID3032042,Silver nitrate
DTXSID4024309,Sodium cyanide
DTXSID3042392,"Sodium 1,4-dihexyl sulfosuccinate"
DTXSID2020630,Sodium fluoride
DTXSID5035799,Sodium N-(hydroxymethyl)glycinate
DTXSID6020937,Sodium nitrate
DTXSID4027072,Sodium phenolate
DTXSID0049783,Sodium polyacrylate
DTXSID1034923,Sodium tetrathiocarbamate
DTXSID6027892,Sorbitan trioleate
DTXSID5023588,D-Glucitol
DTXSID0049789,Starch
DTXSID0049654,"1,3-Butadiene-styrene copolymer"
DTXSID0034936,Sulfometuron-methyl
DTXSID5034937,"Sulfonated oleic acid, sodium salt"
DTXSID6029672,Sulfur dioxide
DTXSID9034945,Sulfuryl fluoride
DTXSID7027671,Tall oil
DTXSID1021455,C.I. Acid Yellow 23
DTXSID9032113,Tebuconazole
DTXSID4034948,Tebufenozide
DTXSID3024316,Tebuthiuron
DTXSID3032547,Etridiazole
DTXSID0048058,Tetraglycine hydroperiodide
DTXSID2034962,Thiamethoxam
DTXSID1032488,Thiazopyr
DTXSID0032651,Thidiazuron
DTXSID6024337,Thiobencarb
DTXSID0032578,Thiodicarb
DTXSID6034972,Thymol
DTXSID1034973,Tralkoxydim
DTXSID0034982,Tributyltin maleate (1:1)
DTXSID0032493,Triadimenol
DTXSID5034981,Tributyltin benzoate
DTXSID00897371,Trichoderma harzianum
DTXSID4032580,Trifloxystrobin
DTXSID2032500,Triflumizole
DTXSID2032502,Triflusulfuron-methyl
DTXSID9032535,Trinexapac-ethyl
DTXSID8035001,10-Undecenoic acid
DTXSID3035002,Uniconazole-P
DTXSID4044169,Corn sugar gum
DTXSID4035120,Xanthine
DTXSID50897088,Saccharomyces cerevisiae
DTXSID7026314,Zinc pyrithione
DTXSID2035013,Zinc chloride
DTXSID7035016,Zinc oxide
